OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2382378,04092018852,Bombay Curry,13220 STRICKLAND RD,Suite 167,RALEIGH,NC,52132-7613,(919) 615-3040,2022/04/08 04:00:00+00,Restaurant,2,-78.72593809,35.90878313,M
2382379,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 04:00:00+00,Mobile Food Units,9,-78.32392727,35.83867806,M
2382380,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,11,-78.82726689,35.7464159,M
2382381,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 04:00:00+00,Restaurant,20,-78.84948074,35.66266499,M
2382382,04092018828,Anise Pho,222 GLENWOOD AVE ,Suite 113,RALEIGH,NC,27603,(714) 815-2980,2022/03/17 04:00:00+00,Restaurant,49,-78.6469718,35.78363286,M
2382383,04092018657,Coffee & Crepes,315 Crossroads BLVD ,,CARY,NC,27511,(919) 233-0288,2021/06/22 04:00:00+00,Restaurant,52,-78.73871452,35.76064286,M
2382384,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,(919) 269-9621,2014/06/04 04:00:00+00,Institutional Food Service,53,-78.32569568,35.81964939,M
2382513,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 05:00:00+00,Restaurant,72,-78.55938498,35.79875761,M
2382514,04092018700,Chick-fil-A #01488,220 SHENSTONE BLVD ,,GARNER,NC,27529,,2021/08/28 04:00:00+00,Restaurant,73,-78.58261702,35.69212111,M
2382515,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 05:00:00+00,Restaurant,76,-78.88824644,35.84415135,M
2382516,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019/12/04 05:00:00+00,Food Stand,81,-78.78267467,35.59365948,M
2382517,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009/09/04 04:00:00+00,Restaurant,87,-78.61557526,35.84978294,M
2382518,04092017895,Anjappar,101 Ledgestone WAY ,,CARY,NC,27519,,2018/07/26 04:00:00+00,Restaurant,95,-78.84803797,35.79230683,M
2382519,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 05:00:00+00,Restaurant,101,-78.84948074,35.66266499,M
2382520,04092030454,Capones Chicago Eats  (WCID #750),8101 Holly Springs RD ,M-Sat 11-2,Raleigh ,NC,27606,(919) 757-9514,2019/12/09 05:00:00+00,Pushcarts,108,-78.76164101,35.70858774,M
2382521,04092018719,Union Special Downtown,401 FAYETTEVILLE ST,Suite 103,RALEIGH,NC,27601,(984) 200-3094 ext. 7004,2021/10/05 04:00:00+00,Restaurant,115,-78.63909101,35.77542096,M
2382522,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019/08/08 04:00:00+00,Mobile Food Units,116,-78.47039569,35.91648377,M
2382523,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-8112,2009/09/24 04:00:00+00,Restaurant,126,-78.65307339,35.72039578,M
2382524,04092018760,Nil's Cafe Mediterranean Cuisine,513 E Broad ST ,,FUQUAY VARINA,NC,27526,(919) 867-0887,2021/12/28 05:00:00+00,Restaurant,131,-78.7940251,35.59342774,M
2382525,04092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,,RALEIGH,NC,27609,(919) 890-5225,2021/05/13 04:00:00+00,Restaurant,147,-78.62263526,35.8662752,M
2382526,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,150,-78.64931864,35.78886208,M
2382527,04092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,,CARY,NC,27518,(919) 859-5559,2017/02/28 05:00:00+00,Restaurant,152,-78.78426862,35.73925014,M
2382528,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 05:00:00+00,Restaurant,153,-78.77734174,35.78786553,M
2382529,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 04:00:00+00,Restaurant,155,-78.66755526,35.73521897,M
2382530,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 05:00:00+00,Restaurant,162,-78.7258865,35.62516136,M
2382531,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 04:00:00+00,Restaurant,170,-78.63943083,35.78220511,M
2382532,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 04:00:00+00,Restaurant,172,-78.57953261,35.76724571,M
2382533,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 05:00:00+00,Restaurant,178,-78.67872874,35.78448278,M
2382534,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 05:00:00+00,Restaurant,184,-78.68223183,35.90105252,M
2382535,04092018798,Craften Knigtdale Primary Kitchen,706 MONEY CT ,Suite 101,KNIGHTDALE,NC,27545,(919) 710-2492,2022/02/06 05:00:00+00,Restaurant,187,-78.47298386,35.79889193,M
2382536,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021/04/28 04:00:00+00,Food Stand,192,-78.67526404,35.78962141,M
2382537,04092018757,Panera #6027,2002 KILDAIRE FARM RD,,CARY,NC,27518,(919) 261-7916,2021/12/21 05:00:00+00,Restaurant,213,-78.78074125,35.73836384,M
2382538,04092015942,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,,CARY,NC,27519,(919) 388-9977,2011/05/18 04:00:00+00,Restaurant,215,-78.84859346,35.79156535,M
2382539,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 04:00:00+00,Restaurant,223,-78.5408878,35.94279833,M
2382540,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021/06/07 04:00:00+00,Restaurant,234,-78.88929435,35.84836238,M
2382541,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,12,-78.63887103,35.83819686,M
2382542,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 04:00:00+00,Restaurant,238,-78.52999701,35.94975468,M
2382543,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016/03/11 05:00:00+00,Restaurant,239,-78.77802091,35.78798563,M
2382544,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,240,-78.82726689,35.7464159,M
2382545,04092025369,Crepe Time Catering @ TKA,2201 S WILMINGTON ST,,RALEIGH,NC,27603,(919) 377-9447,2021/06/24 04:00:00+00,Food Stand,241,-78.63902655,35.752054,M
2382546,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 04:00:00+00,Restaurant,242,-78.47356613,35.79722482,M
2382547,04092018593,Wendy's,1809 N HARRISON AVE ,,CARY,NC,27513,(919) 677-0039,2021/03/24 04:00:00+00,Restaurant,246,-78.76795619,35.83059406,M
2382548,04092018626,Empanadas & More,2107 Grace Park  DR ,,RALEIGH,NC,27560,(919) 535-8080,2021/05/10 04:00:00+00,Restaurant,84,-78.84717028,35.82193112,M
2382549,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 05:00:00+00,Restaurant,149,-78.61376,35.75438832,M
2382550,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 04:00:00+00,Restaurant,250,-78.67445032,35.78959693,M
2382551,04092017190,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,,RALEIGH,NC,27601,(919) 821-7646,2016/03/28 04:00:00+00,Restaurant,253,-78.61949307,35.78808582,M
2382552,04092018378,Pleasant Grove Church,1528 Davis DR ,,CARY,NC,27519,(919) 363-5198,2020/05/29 04:00:00+00,Restaurant,258,-78.84348956,35.76990031,M
2382553,04092022030,AUNTIE ANNE'S NC #111,5959 TRIANGLE TOWN BLVD ,STE EU-2133,RALEIGH,NC,27616,(919) 792-2548,2017/08/30 04:00:00+00,Food Stand,261,-78.57603863,35.86599856,M
2382554,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Restaurant,263,-78.82726689,35.7464159,M
2382555,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 05:00:00+00,Restaurant,247,-78.62699406,35.77656647,M
2382556,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 05:00:00+00,Restaurant,264,-78.78193974,35.75976658,M
2382557,04092021875,HL Catering Primary Shared Kitchen,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015/09/29 04:00:00+00,Food Stand,265,-78.65955263,35.79661923,M
2382558,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 04:00:00+00,Restaurant,266,-78.63957991,35.77810063,M
2382559,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 04:00:00+00,Restaurant,268,-78.55981965,35.9407555,M
2382560,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 05:00:00+00,Restaurant,270,-78.58054205,35.69110315,M
2382561,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 05:00:00+00,Food Stand,280,-78.59988229,35.89223772,M
2382562,04092018647,Five Guys #0368,8107 Creedmoor RD ,Ste 100,RALEIGH,NC,27613,(919) 844-7057,2021/06/07 04:00:00+00,Restaurant,281,-78.68116797,35.89788799,M
2382563,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 04:00:00+00,Restaurant,287,-78.62166097,35.89510574,M
2382564,04092016677,MONA PITA MEDITERRANEAN GRILL,5260 CAPITAL BLVD ,SUITE 101,RALEIGH,NC,27616,(919) 431-6500,2014/04/22 04:00:00+00,Restaurant,301,-78.580183,35.85814638,M
2382565,04092025378,Wingstop #2032,1619 CROSS LINK RD,,RALEIGH,NC,27610,(919) 977-4111,2021/08/17 04:00:00+00,Food Stand,319,-78.61481064,35.75482608,M
2382566,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 05:00:00+00,Restaurant,324,-78.84707532,35.82315923,M
2382567,04092025393,Little Caesars #39,203 Timber  DR ,,GARNER,NC,27529,(919) 772-7775,2021/09/24 04:00:00+00,Food Stand,327,-78.60613102,35.68500723,M
2382568,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 04:00:00+00,Restaurant,329,-78.54504471,35.96485726,M
2382569,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021/06/07 04:00:00+00,Restaurant,326,-78.82917015,35.7478436,M
2382570,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 04:00:00+00,Restaurant,337,-78.537511,35.87630713,M
2382571,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,333,-78.63887103,35.83819686,M
2382572,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 04:00:00+00,Food Stand,340,-78.84865444,35.78921622,M
2382573,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 04:00:00+00,Food Stand,338,-78.63544584,35.77685868,M
2382574,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 05:00:00+00,Restaurant,364,-78.4899936,35.79638702,M
2382575,04092018656,Brookfields Indoor Golf & Lounge,1839 S Main ST ,,WAKE FOREST,NC,27587,(984) 235-1722,2021/06/17 04:00:00+00,Restaurant,372,-78.52626448,35.95102854,M
2382576,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 05:00:00+00,Food Stand,376,-78.83931692,35.71149361,M
2382577,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 04:00:00+00,Restaurant,380,-78.70609774,35.86074545,M
2382578,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020/11/10 05:00:00+00,Restaurant,409,-78.64536523,35.80340045,M
2382579,04092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006/12/22 05:00:00+00,Restaurant,359,-78.61277558,35.79430477,M
2382580,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 04:00:00+00,Restaurant,412,-78.68893912,35.78436913,M
2382581,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008/03/26 04:00:00+00,Restaurant,430,-78.83292783,35.63500069,M
2382582,04092110465,Sanford Creek Elem. Cafeteria,707 Granite Falls BLVD ,,ROLESVILLE,NC,27571,(919) 570-2115,2007/07/06 04:00:00+00,Public School Lunchrooms,362,-78.46033895,35.92844353,M
2382583,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,446,-78.83920919,35.6398791,M
2382584,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 04:00:00+00,Restaurant,455,-78.81676023,35.80454378,M
2382585,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 04:00:00+00,Food Stand,457,-78.57603863,35.86599856,M
2382586,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 04:00:00+00,Restaurant,467,-78.63994726,35.83691426,M
2382587,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 05:00:00+00,Restaurant,470,-78.62166097,35.89510574,M
2382588,04092017053,CHILI'S GRILL & BAR #1566,111 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-7841,2015/10/09 04:00:00+00,Restaurant,475,-78.84935077,35.65965931,M
2382589,04092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,STE 105,RALEIGH,NC,27614,(919) 554-0508,2010/01/05 05:00:00+00,Restaurant,476,-78.55981965,35.9407555,M
2382590,04092018239,Mezeh Grill,2316 HILLSBOROUGH ST,106,RALEIGH,NC,27607-7384,(919) 386-3435,2019/11/22 05:00:00+00,Restaurant,506,-78.66664805,35.78770631,M
2382591,04092025319,Satori Meals @ TKA,2201 S Wilmington ST ,,RALEIGH,NC,27603,(919) 592-2330,2020/09/01 04:00:00+00,Food Stand,520,-78.63902655,35.752054,M
2382592,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 04:00:00+00,Restaurant,431,-78.54049905,35.87559319,M
2382593,04092018835,Brookside Bodega,1000 BROOKSIDE DR ,Suite 119,RALEIGH,NC,27604,(919) 977-9004,2022/03/22 04:00:00+00,Restaurant,525,-78.62465098,35.79244363,M
2382594,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 04:00:00+00,Restaurant,521,-78.51125194,35.89400635,M
2382595,04092014554,KFC #J120103,1403 W Williams ST,,APEX,NC,27502,(919) 303-7997,2006/04/25 04:00:00+00,Restaurant,545,-78.87726967,35.7501529,M
2382596,04092021746,WALMART NEIGHBORHOOD DELI #4147,3560 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 388-2731,2013/06/18 04:00:00+00,Food Stand,546,-78.84576194,35.81812076,M
2382597,04092017330,GALAXY FUN PARK,14460 FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 584-4000,2016/09/19 04:00:00+00,Restaurant,573,-78.54362008,35.94386602,M
2382598,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 04:00:00+00,Food Stand,574,-78.65568292,35.90277448,M
2382599,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 04:00:00+00,Food Stand,576,-78.73871452,35.76064286,M
2382600,04092030551,9.19 Island cuisine,13654 CAPITAL BLVD,,WAKE FOREST,NC,27587,(518) 817-0688,2021/08/19 04:00:00+00,Mobile Food Units,577,-78.51867461,36.00548951,M
2382601,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 04:00:00+00,Food Stand,579,-78.66044244,35.88617531,T
2382602,04092018655,Dairy Queen #11993,12271 Capital  BLVD ,,WAKE FOREST ,NC,27587,(919) 554-2564,2021/06/17 04:00:00+00,Restaurant,585,-78.53978632,35.98090041,M
2382603,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 05:00:00+00,Food Stand,587,-78.65023656,35.89889154,M
