latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.2422,140.88899,311.49,2.43,1.5,2022-06-29,0039,T,49,6.1NRT,298.34,27.5,D
-5.06014,144.00319,317.22,1.18,1.08,2022-06-29,0050,T,49,6.1NRT,301.64,11.98,D
-5.22634,144.23108,312.84,1.22,1.1,2022-06-29,0050,T,72,6.1NRT,299.52,9.57,D
-5.86108,146.83029,314.23,1.9,1.35,2022-06-29,0050,T,41,6.1NRT,297.61,15.34,D
-5.85351,146.82483,315.46,1.9,1.35,2022-06-29,0050,T,54,6.1NRT,297.15,18.76,D
-5.79938,145.74612,306.29,1.57,1.23,2022-06-29,0050,T,47,6.1NRT,293.65,8.08,D
-5.80007,145.73935,309.42,1.57,1.23,2022-06-29,0050,T,68,6.1NRT,293.78,12.14,D
-5.83141,145.64064,316.6,1.54,1.22,2022-06-29,0050,T,77,6.1NRT,296.85,16.38,D
-5.93389,145.71849,314.9,1.57,1.23,2022-06-29,0050,T,48,6.1NRT,299.89,15.41,D
-5.93589,145.73294,315.04,1.57,1.24,2022-06-29,0050,T,51,6.1NRT,299.72,14.11,D
-6.19566,145.19539,308.05,1.46,1.19,2022-06-29,0050,T,57,6.1NRT,294.29,12.58,D
64.88891,161.88716,313.75,1.04,1.02,2022-06-29,0030,T,60,6.1NRT,299.15,6.44,D
64.91706,160.21764,340.55,1.09,1.04,2022-06-29,0030,T,91,6.1NRT,298.62,45.4,D
64.91442,160.24011,340.72,1.09,1.04,2022-06-29,0030,T,91,6.1NRT,300.35,45.41,D
64.91177,160.26257,327.94,1.09,1.04,2022-06-29,0030,T,83,6.1NRT,300.12,23.98,D
64.9053,160.2343,331.69,1.09,1.04,2022-06-29,0030,T,86,6.1NRT,299.78,29.59,D
64.90266,160.25673,339.14,1.09,1.04,2022-06-29,0030,T,90,6.1NRT,300.93,41.42,D
64.90002,160.27914,327.59,1.09,1.04,2022-06-29,0030,T,82,6.1NRT,300.21,22.72,D
64.89738,160.30153,329.15,1.09,1.04,2022-06-29,0030,T,84,6.1NRT,299.66,25.31,D
64.75513,160.86708,314.54,1.06,1.03,2022-06-29,0030,T,66,6.1NRT,299.24,6.79,D
64.71922,160.84332,316.36,1.06,1.03,2022-06-29,0030,T,70,6.1NRT,299.33,8.78,D
56.24169,160.9171,318.74,1.04,1.02,2022-06-29,0033,T,13,6.1NRT,306.35,11.58,D
55.90284,159.87564,323.71,1.02,1.01,2022-06-29,0033,T,37,6.1NRT,312.05,15.3,D
55.86395,159.82245,317.14,1.01,1.01,2022-06-29,0033,T,47,6.1NRT,305.09,9.97,D
-7.01217,145.81514,303.84,1.66,1.27,2022-06-29,0050,T,42,6.1NRT,292.61,9.12,D
-9.69181,147.49393,311.25,2.46,1.51,2022-06-29,0050,T,47,6.1NRT,293.69,20.14,D
-11.41873,132.57103,315.52,2.63,1.56,2022-06-29,0052,T,64,6.1NRT,283.24,39.38,D
-11.89454,132.83478,316.59,2.46,1.51,2022-06-29,0052,T,32,6.1NRT,289.07,28.6,D
