latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-29.00788,29.34261,297.56,0.51,0.66,2022-06-29,0001,N,nominal,2.0NRT,274.08,1.03,N
-29.01402,29.34064,302.62,0.51,0.66,2022-06-29,0001,N,nominal,2.0NRT,269.65,1.03,N
-30.36495,30.0162,307.62,0.57,0.69,2022-06-29,0001,N,nominal,2.0NRT,279.74,1.98,N
-29.63829,17.85505,320.45,0.4,0.37,2022-06-29,0001,N,nominal,2.0NRT,283.63,2.26,N
0.63727,100.42068,330.08,0.52,0.67,2022-06-29,0729,N,nominal,2.0NRT,286.58,4.06,D
1.10776,101.10931,332.99,0.59,0.7,2022-06-29,0729,N,nominal,2.0NRT,288.63,4.18,D
1.99743,99.71478,335.66,0.49,0.65,2022-06-29,0729,N,nominal,2.0NRT,288.78,4.69,D
1.99798,99.71417,334.63,0.49,0.65,2022-06-29,0729,N,nominal,2.0NRT,288.45,4.28,D
3.56379,102.41674,325.97,0.78,0.78,2022-06-29,0729,N,nominal,2.0NRT,286.86,3.61,D
5.33011,95.49039,348.1,0.56,0.52,2022-06-29,0731,N,nominal,2.0NRT,287.28,18.81,D
60.2881,22.29034,312.28,0.42,0.37,2022-06-29,0115,N,nominal,2.0NRT,291.04,2.32,N
60.28619,22.29032,321.97,0.42,0.37,2022-06-29,0115,N,nominal,2.0NRT,292.21,2.04,N
60.13428,15.41458,298.2,0.39,0.37,2022-06-29,0115,N,nominal,2.0NRT,284.77,0.8,N
61.24104,1.14392,326.54,0.32,0.55,2022-06-29,0115,N,nominal,2.0NRT,281.27,1.85,N
60.8115,5.01712,295.38,0.48,0.48,2022-06-29,0115,N,nominal,2.0NRT,281.35,0.78,N
60.80703,5.01622,308.89,0.48,0.48,2022-06-29,0115,N,nominal,2.0NRT,279.97,0.78,N
60.50687,2.00309,309.67,0.6,0.53,2022-06-29,0115,N,nominal,2.0NRT,281.83,1.49,N
60.50649,2.01435,299.43,0.6,0.53,2022-06-29,0115,N,nominal,2.0NRT,281.61,1.49,N
60.50708,2.00693,319.92,0.6,0.53,2022-06-29,0115,N,nominal,2.0NRT,281.92,2.3,N
60.32715,5.34368,299.86,0.46,0.47,2022-06-29,0115,N,nominal,2.0NRT,281,0.83,N
59.64688,6.36494,295.01,0.42,0.45,2022-06-29,0115,N,nominal,2.0NRT,282.13,0.4,N
59.1086,10.27367,322.33,0.48,0.4,2022-06-29,0115,N,nominal,2.0NRT,286.82,2.58,N
59.12873,9.62033,298.82,0.5,0.41,2022-06-29,0115,N,nominal,2.0NRT,286.72,0.89,N
58.38434,13.8225,300.18,0.4,0.37,2022-06-29,0115,N,nominal,2.0NRT,284.49,0.76,N
58.38343,13.82921,298.56,0.4,0.37,2022-06-29,0115,N,nominal,2.0NRT,284.54,0.6,N
58.36097,12.37933,344.18,0.42,0.38,2022-06-29,0115,N,nominal,2.0NRT,285.44,8.21,N
58.35756,12.37777,307.38,0.42,0.38,2022-06-29,0115,N,nominal,2.0NRT,284.97,1.5,N
58.34563,11.42104,300.31,0.44,0.38,2022-06-29,0115,N,nominal,2.0NRT,288.5,0.88,N
58.69426,1.27481,303.75,0.62,0.54,2022-06-29,0115,N,nominal,2.0NRT,280.02,1.79,N
57.06262,9.97358,320.42,0.46,0.39,2022-06-29,0115,N,nominal,2.0NRT,288.31,1.73,N
57.06178,9.98117,309.92,0.46,0.39,2022-06-29,0115,N,nominal,2.0NRT,285.89,1.73,N
50.39512,36.07117,297.42,0.77,0.77,2022-06-29,0115,N,nominal,2.0NRT,283.36,0.28,N
